N sim mu_vmp mu_mcmc psi_1_vmp psi_1_mcmc psi_2_vmp psi_2_mcmc psi_3_vmp psi_3_mcmc psi_4_vmp psi_4_mcmc zeta_vmp zeta_mcmc
50 38 0.04480178 0.04398651 0.05262497 0.005532393 0.08812378 0.1632111 0.3539257 0.1256305 1.815108 0.1708355 0.880957 0.6820496
50 39 0.04599581 0.008235889 0.04271004 0.009618954 0.06058059 0.1783475 0.9092237 0.1573459 1.976365 0.4007499 0.7865136 0.633495
50 40 0.05501302 0.05198786 0.00668354 0.007400565 0.3937628 0.3422678 0.4395359 0.4024687 0.5462577 0.1595578 0.6963174 0.6711579
50 41 0.0134162 0.0396079 0.01546889 0.01253795 0.02208871 0.02799328 0.6756072 0.1105836 0.8723746 0.1105752 0.696013 0.6425799
50 42 0.03390154 0.04209879 0.0166333 0.02348329 0.08435292 0.07750488 0.0809584 0.05557547 1.252765 0.1348215 0.7080554 0.6776556
50 43 0.03431914 0.03152713 0.01025369 0.005470167 0.02609059 0.01854942 0.6645741 0.04148247 1.675853 0.1110943 0.667932 0.61377
50 44 0.03384553 0.02233555 0.0104548 0.01458416 0.00833521 0.01014495 0.7264434 0.168718 1.881913 0.7610337 0.6792555 0.6535975
50 45 0.04360373 0.02463155 0.04373719 0.07021955 0.06658952 0.07408384 0.8199948 0.5778606 1.685588 0.5178127 0.7764621 0.7288561
50 46 0.08852998 0.09611248 0.2676865 0.2374099 0.2700037 0.2473699 0.1438061 0.122494 1.682326 0.1724796 0.756629 0.7661037
50 47 0.05750915 0.05583375 0.01783429 0.02346831 0.08952192 0.1437244 0.5883247 0.1705156 0.7609437 0.1727664 0.6889981 0.6733181
50 48 0.008135969 0.01130504 0.008332285 0.005111265 0.04069093 0.03188061 0.1345021 0.1154821 1.466532 0.1958352 0.6174958 0.6103933
50 49 0.01490069 0.01595977 0.01619265 0.01895747 0.08728993 0.06622093 0.7813123 0.4447292 0.2311891 0.3974908 0.6747074 0.6539674
50 50 0.1398028 0.1325522 0.006175313 0.003680871 0.03522458 0.04652764 0.641439 0.4346702 0.485419 0.4061699 0.7542913 0.7302405
50 51 0.03695035 0.01397435 0.01400267 0.02263927 0.08729344 0.2902647 0.6786332 0.3418313 1.987146 0.2160789 0.707618 0.6581529
50 52 0.06109725 0.06002129 0.04032809 0.03840971 0.2223497 0.2683088 0.2097557 0.2668105 1.930903 0.1039263 0.7419367 0.7072279
50 53 0.03759485 0.0354439 0.01677846 0.01531687 0.159981 0.1497818 0.5573031 0.4228712 1.302178 0.5579203 0.6918663 0.6774029
50 54 0.04770786 0.04247294 0.004040662 0.003442466 0.06339088 0.06826952 0.03304131 0.05565446 1.790668 0.1516521 0.6890038 0.6582898
50 55 0.02407118 0.02245967 0.03163723 0.04135554 0.03816548 0.05186309 0.04003073 0.06201178 1.778247 0.1682026 0.7051056 0.6413154
50 56 0.009507968 0.01292255 0.0142816 0.0115341 0.04305202 0.0324241 0.3951525 0.1420169 1.798891 0.254306 0.6336154 0.6222965
50 57 0.05057747 0.0410675 0.006076517 0.008643009 0.03784829 0.04631278 0.6582517 0.1029113 1.116891 0.1385996 0.6943076 0.6461343
50 58 0.03776776 0.06556223 0.004900291 0.008060326 0.03765012 0.02269115 0.8451161 0.1237951 0.6616225 0.1183881 0.7009825 0.6544314
50 59 0.2471613 0.08888181 0.02012888 0.007928662 0.03826288 0.08902304 0.7393366 0.1510645 1.909852 0.1440008 0.8310543 0.6861933
50 60 0.03486247 0.04050502 0.0167616 0.01961244 0.0861132 0.08840437 0.268292 0.293725 1.204749 0.21302 0.6836694 0.6566886
50 61 0.0697482 0.06585001 0.0217736 0.02186327 0.0543274 0.08515887 0.08646165 0.09984383 1.85135 0.161728 0.6448138 0.6175369
50 62 0.02767219 0.02601091 0.05317007 0.05734079 0.06077808 0.06242328 0.3264609 0.3109788 1.225528 0.3669526 0.720852 0.6877012
50 63 0.01551879 0.01489821 0.008511993 0.007795586 0.03341981 0.02922892 0.6130181 0.4478971 1.429399 0.4504565 0.6458701 0.6374749
50 64 0.05248029 0.04219075 0.03815836 0.03673875 0.04460468 0.05747518 0.4911932 0.3078051 0.4799127 0.3096307 0.6906573 0.6577044
50 65 0.00676234 0.007163387 0.02082773 0.01818427 0.1258898 0.1207615 0.1212481 0.1159724 1.846493 0.3612657 0.6381995 0.6294239
50 66 0.01467403 0.01594313 0.005146114 0.00852597 0.02958653 0.03615336 0.1698918 0.1467793 0.7931586 0.2888882 0.6455348 0.6310251
50 67 0.03709807 0.03992549 0.02753525 0.03233722 0.02936234 0.03964637 0.7427226 0.2215953 0.7933696 0.2153129 0.6701698 0.6329162
